chain,scheme,block_size_mb,throughput_tx_per_s
ethereum_like,ECDSA-secp256k1,1,487.0
ethereum_like,ECDSA-secp256k1,2,974.333
ethereum_like,ECDSA-secp256k1,4,1949.0
ethereum_like,ECDSA-secp256k1,8,3898.333
ethereum_like,ML-DSA-44,1,21.667
ethereum_like,ML-DSA-44,2,43.417
ethereum_like,ML-DSA-44,4,86.917
ethereum_like,ML-DSA-44,8,173.917
ethereum_like,Falcon-512,1,50.333
ethereum_like,Falcon-512,2,100.667
ethereum_like,Falcon-512,4,201.5
ethereum_like,Falcon-512,8,403.0
ethereum_like,SLH-DSA-SHA2-128f,1,4.833
ethereum_like,SLH-DSA-SHA2-128f,2,9.667
ethereum_like,SLH-DSA-SHA2-128f,4,19.333
ethereum_like,SLH-DSA-SHA2-128f,8,38.667
ethereum_like,SLH-DSA-SHA2-128s,1,10.417
ethereum_like,SLH-DSA-SHA2-128s,2,20.833
ethereum_like,SLH-DSA-SHA2-128s,4,41.667
ethereum_like,SLH-DSA-SHA2-128s,8,83.417
ethereum_like,ECDSA+ML-DSA-44,1,21.333
ethereum_like,ECDSA+ML-DSA-44,2,42.667
ethereum_like,ECDSA+ML-DSA-44,4,85.333
ethereum_like,ECDSA+ML-DSA-44,8,170.75
ethereum_like,ECDSA+Falcon-512,1,48.25
ethereum_like,ECDSA+Falcon-512,2,96.583
ethereum_like,ECDSA+Falcon-512,4,193.167
ethereum_like,ECDSA+Falcon-512,8,386.417
